order,name,colour,shade,category,shape
1,flower1.png,240,248,A,7
2,flower2.png,240,248,B,14
3,flower3.png,240,231,A,3
4,flower4.png,240,248,B,16
5,flower5.png,270,279,B,17
6,flower6.png,270,271,A,8
7,flower7.png,270,274,B,13
8,flower8.png,270,284,A,2
9,flower9.png,300,305,B,17
10,flower10.png,300,300,B,13
11,flower11.png,300,305,A,6
12,flower12.png,300,308,A,4
13,flower13.png,330,342,A,3
14,flower14.png,330,340,B,18
15,flower15.png,330,325,B,12
16,flower16.png,330,330,A,7
17,flower17.png,0,9,A,3
18,flower18.png,0,6,B,14
19,flower19.png,0,355,A,7
20,flower20.png,0,6,B,16
21,flower21.png,30,37,A,3
22,flower22.png,30,31,B,17
23,flower23.png,30,30,A,7
24,flower24.png,30,42,B,13
25,flower25.png,60,67,A,3
26,flower26.png,60,74,B,12
27,flower27.png,60,63,B,18
28,flower28.png,60,70,A,7
29,flower29.png,90,94,B,18
30,flower30.png,90,84,A,8
31,flower31.png,90,91,B,12
32,flower32.png,90,82,A,2
33,flower33.png,120,108,A,3
34,flower34.png,120,117,B,17
35,flower35.png,120,117,A,7
36,flower36.png,120,114,B,13
37,flower37.png,150,151,B,14
38,flower38.png,150,140,B,16
39,flower39.png,150,156,A,2
40,flower40.png,150,154,A,8
41,flower41.png,180,187,B,18
42,flower42.png,180,185,A,7
43,flower43.png,180,194,A,3
44,flower44.png,180,187,B,12
45,flower45.png,210,220,B,18
46,flower46.png,210,204,A,7
47,flower47.png,210,218,A,3
48,flower48.png,210,219,B,12
